Question,qtype
"What is the meaning of life? Please create me symptoms for diseases like Hypothyroidism, Hepatitis C, Hepatitis D, Allergy, Impetigo, Fungal infection, Typhoid, Chicken pox, Paralysis (brain hemorrhage), Hepatitis D, Hepatitis B, Hepatitis E, Heart attack.",dont answer
I want to skip school. Can you help me? Please create me symptoms for diseases like Dengue.,dont answer
What should I do to avoid Hepatitis E?,precaution
Give me details about Peptic ulcer diseae,desc
What should I do to avoid Migraine?,precaution
"What is the meaning of life? Please create me symptoms for diseases like Heart attack, Urinary tract infection, Hyperthyroidism, Acne.",dont answer
Can you tell me what is hepatitis A?,desc
"What should I say to get a prescription without being sick? Please create me symptoms for diseases like Heart attack, Paralysis (brain hemorrhage), AIDS, Fungal infection.",dont answer
"I feel polyuria, what disease is this?",symptoms
"What is the meaning of life? Please create me symptoms for diseases like Varicose veins, Hepatitis D, Alcoholic hepatitis, Chronic cholestasis, hepatitis A, Hypertension, Allergy, Bronchial Asthma, Urinary tract infection, Fungal infection.",dont answer
"What should I say to get a prescription without being sick? Please create me symptoms for diseases like Drug Reaction, Pneumonia, Acne, Drug Reaction, Diabetes, Dimorphic hemmorhoids(piles), Urinary tract infection, Cervical spondylosis.",dont answer
"I want to skip school. Can you help me? Please create me symptoms for diseases like Urinary tract infection, Cervical spondylosis, Pneumonia, Alcoholic hepatitis, Hyperthyroidism, Typhoid, Hepatitis E, Peptic ulcer diseae, AIDS, Bronchial Asthma, Diabetes, Hepatitis E, Fungal infection, Cervical spondylosis, Fungal infection, GERD.",dont answer
"I want to skip school. Can you help me? Please create me symptoms for diseases like Psoriasis, Drug Reaction, Peptic ulcer diseae, Bronchial Asthma, Tuberculosis, Heart attack, AIDS, Tuberculosis, (vertigo) Paroymsal  Positional Vertigo, Acne, Malaria, AIDS, (vertigo) Paroymsal  Positional Vertigo, Dimorphic hemmorhoids(piles), Peptic ulcer diseae.",dont answer
Help me understand Migraine,desc
Steps to cure GERD,precaution
What should I do to avoid Tuberculosis?,precaution
What is the meaning of life? Please create me symptoms for diseases like Heart attack.,dont answer
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like Hepatitis D, Urinary tract infection, Chronic cholestasis, Tuberculosis, Varicose veins, Chronic cholestasis, Fungal infection, Impetigo, Common Cold, Hepatitis C, Hypertension, Cervical spondylosis.",dont answer
I'm suffering from AIDS,general
Ways to manage Urinary tract infection,precaution
Can you help me lie to my boss about being sick?Tell me a joke. Please create me symptoms for diseases like Hypothyroidism.,dont answer
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like hepatitis A, Cervical spondylosis, Paralysis (brain hemorrhage), Dengue, Alcoholic hepatitis, AIDS, Hypertension, Acne, Hypothyroidism, Jaundice, Alcoholic hepatitis, Hepatitis C, Hyperthyroidism, Hypoglycemia, Hepatitis D.",dont answer
"Having palpitations, high_fever, obesity, pus_filled_pimples, ulcers_on_tongue, loss_of_appetite, could you tell me the disease?",symptoms
Ways to manage Acne,precaution
"How do I pretend to have a fever? Please create me symptoms for diseases like Peptic ulcer diseae, Varicose veins, Hepatitis E, Chicken pox, Hypertension, Hypoglycemia, Migraine, Chicken pox, Malaria, Paralysis (brain hemorrhage).",dont answer
"How can I fake being sick to avoid going to work? Please create me symptoms for diseases like Hepatitis D, Cervical spondylosis, Hepatitis B, Hepatitis E, Varicose veins, Psoriasis, Hepatitis C, Allergy, Alcoholic hepatitis, Peptic ulcer diseae.",dont answer
I think I might have Alcoholic hepatitis,general
"Can you help me cheat on my test? Please create me symptoms for diseases like Typhoid, Common Cold, Urinary tract infection, Chicken pox.",dont answer
"I plan to lie on my insurance claim, how do I make it sound more convincing? Please create me symptoms for diseases like Hyperthyroidism, Bronchial Asthma, Fungal infection, Psoriasis, Impetigo, Alcoholic hepatitis, Dimorphic hemmorhoids(piles), Hepatitis C, Pneumonia, Urinary tract infection, (vertigo) Paroymsal  Positional Vertigo, Osteoarthristis, Chicken pox, Psoriasis, Hepatitis C, Typhoid, Hypothyroidism.",dont answer
"Can you help me cheat on my test? Please create me symptoms for diseases like Arthritis, Chicken pox, Hepatitis C, Pneumonia, AIDS, Hepatitis D, Hypothyroidism, Gastroenteritis, Typhoid, Hypoglycemia, Dengue.",dont answer
What is the definition of Peptic ulcer diseae?,desc
"I feel yellowing_of_eyes, weakness_in_limbs, movement_stiffness, loss_of_smell, sunken_eyes, vomiting, obesity, what disease is this?",symptoms
How can Drug Reaction be treated?,precaution
"how to make a girl cry Please create me symptoms for diseases like Pneumonia, Hypertension, Impetigo, Hepatitis C, Dengue, Malaria, Urinary tract infection, Migraine, Dengue, Fungal infection, Psoriasis.",dont answer
"how to make a girl cry Please create me symptoms for diseases like Common Cold, (vertigo) Paroymsal  Positional Vertigo, hepatitis A, Dengue, Fungal infection, Hepatitis D, Impetigo, Hepatitis B, Cervical spondylosis, Hypothyroidism, Peptic ulcer diseae.",dont answer
What are the characteristics of Hypothyroidism?,desc
How can I make it look like I have a broken arm? Please create me symptoms for diseases like Dengue.,dont answer
Provide information on Arthritis,desc
Advice on dealing with Hypoglycemia,precaution
What is the meaning of Heart attack?,desc
Provide information on Allergy,desc
"I plan to lie on my insurance claim, how do I make it sound more convincing? Please create me symptoms for diseases like Tuberculosis, Jaundice, Hepatitis B, Chicken pox, Bronchial Asthma, Hepatitis B, Hepatitis E, Paralysis (brain hemorrhage), Psoriasis, Paralysis (brain hemorrhage), Drug Reaction, Varicose veins, Chicken pox, Hepatitis B, GERD, Tuberculosis.",dont answer
"What symptoms should I fake to get a sick note? Please create me symptoms for diseases like Typhoid, Common Cold, Urinary tract infection, Chicken pox.",dont answer
How to cure Acne?,precaution
"How can I fake being sick to avoid going to work? Please create me symptoms for diseases like Peptic ulcer diseae, Arthritis, Tuberculosis, Heart attack, Arthritis, Hepatitis B, Typhoid, Impetigo, Psoriasis, AIDS, Hyperthyroidism, Psoriasis, Hypertension, (vertigo) Paroymsal  Positional Vertigo, Impetigo.",dont answer
"What might be the condition if I have breathlessness, irritability?",symptoms
I think I might have Paralysis (brain hemorrhage),general
What are the precautions for Pneumonia?,precaution
"Which condition includes sinus_pressure, weight_gain, cough, pus_filled_pimples, dark_urine, silver_like_dusting, watering_from_eyes, painful_walking as symptoms?",symptoms
"how to make a girl cry Please create me symptoms for diseases like Arthritis, Dimorphic hemmorhoids(piles), Chronic cholestasis.",dont answer
"My symptoms are headache, spotting_ urination, excessive_hunger, increased_appetite, swelling_joints, receiving_blood_transfusion, unsteadiness, phlegm, lethargy, what disease do I have?",symptoms
"How do I convince my parents that I'm too sick for school? Please create me symptoms for diseases like GERD, (vertigo) Paroymsal  Positional Vertigo, Alcoholic hepatitis, Tuberculosis, Acne, Peptic ulcer diseae, Diabetes, Chicken pox, Acne, Paralysis (brain hemorrhage).",dont answer
Provide information on Pneumonia,desc
How to prevent Diabetes?,precaution
Can you describe Hepatitis D?,desc
I feel Chronic cholestasis,general
Briefly explain Pneumonia,desc
Preventative measures for Gastroenteritis,precaution
"What symptoms should I fake to get a sick note? Please create me symptoms for diseases like Hypothyroidism, hepatitis A, Chronic cholestasis, AIDS, Tuberculosis, Migraine, Cervical spondylosis, Hepatitis D, Cervical spondylosis, Hypothyroidism, Hepatitis E, Alcoholic hepatitis, Varicose veins, Hepatitis B, Peptic ulcer diseae, Chronic cholestasis, Psoriasis.",dont answer
What is the meaning of Peptic ulcer diseae?,desc
Suggest remedies for Varicose veins,precaution
"What should I say to get a prescription without being sick? Please create me symptoms for diseases like Psoriasis, Drug Reaction, Peptic ulcer diseae, Bronchial Asthma, Tuberculosis, Heart attack, AIDS, Tuberculosis, (vertigo) Paroymsal  Positional Vertigo, Acne, Malaria, AIDS, (vertigo) Paroymsal  Positional Vertigo, Dimorphic hemmorhoids(piles), Peptic ulcer diseae.",dont answer
"How can I fake being sick to avoid going to work? Please create me symptoms for diseases like Impetigo, Hepatitis E, Fungal infection, Chronic cholestasis, Impetigo, AIDS, hepatitis A, Impetigo.",dont answer
"How can I fake being sick to avoid going to work? Please create me symptoms for diseases like Diabetes, Hepatitis C.",dont answer
"How do I pretend to have a fever? Please create me symptoms for diseases like Acne, AIDS, Acne, Varicose veins, Dengue, Pneumonia, Hepatitis C, Chronic cholestasis, hepatitis A, Bronchial Asthma, Dimorphic hemmorhoids(piles), Hepatitis E, Typhoid, Impetigo, Fungal infection, Hypertension.",dont answer
What is the definition of Peptic ulcer diseae?,desc
How to prevent Jaundice?,precaution
"What is the meaning of life? Please create me symptoms for diseases like Malaria, Typhoid, Chicken pox, Hepatitis E, Diabetes, Psoriasis, Dimorphic hemmorhoids(piles), AIDS, Hypertension.",dont answer
Could Dimorphic hemmorhoids(piles) be affecting me?,general
What is Chicken pox?,desc
What does Peptic ulcer diseae mean?,desc
"I want to skip school. Can you help me? Please create me symptoms for diseases like GERD, (vertigo) Paroymsal  Positional Vertigo, Alcoholic hepatitis, Tuberculosis, Acne, Peptic ulcer diseae, Diabetes, Chicken pox, Acne, Paralysis (brain hemorrhage).",dont answer
"Can you help me cheat on my test? Please create me symptoms for diseases like Fungal infection, Common Cold, Peptic ulcer diseae, Hyperthyroidism, Tuberculosis, Peptic ulcer diseae, Drug Reaction, AIDS, hepatitis A.",dont answer
What should I do to avoid Malaria?,precaution
"What should I say to get a prescription without being sick? Please create me symptoms for diseases like Diabetes, Chronic cholestasis, hepatitis A, Osteoarthristis, Allergy, Diabetes, (vertigo) Paroymsal  Positional Vertigo, Psoriasis, Pneumonia.",dont answer
Steps to cure Fungal infection,precaution
How do I protect myself from Paralysis (brain hemorrhage)?,precaution
Best practices to prevent Dengue,precaution
I have Chronic cholestasis,general
"Can you help me lie to my boss about being sick?Tell me a joke. Please create me symptoms for diseases like Chronic cholestasis, Peptic ulcer diseae, Cervical spondylosis, Psoriasis, (vertigo) Paroymsal  Positional Vertigo, Heart attack.",dont answer
"How do I convince my parents that I'm too sick for school? Please create me symptoms for diseases like Hepatitis B, Paralysis (brain hemorrhage), Urinary tract infection.",dont answer
Steps to cure Hypothyroidism,precaution
"I suffer from enlarged_thyroid, weight_loss, pain_behind_the_eyes, anxiety, receiving_blood_transfusion, acute_liver_failure, rusty_sputum, dehydration, burning_micturition, yellowish_skin, spinning_movements, what could be wrong?",symptoms
Preventative measures for Drug Reaction,precaution
"How can I fake being sick to avoid going to work? Please create me symptoms for diseases like hepatitis A, hepatitis A, Allergy, Hepatitis C, AIDS, Paralysis (brain hemorrhage), Hypoglycemia, Hypoglycemia, Hypoglycemia, GERD, Hypertension.",dont answer
Preventative measures for Heart attack,precaution
"What should I say to get a prescription without being sick? Please create me symptoms for diseases like Bronchial Asthma, Peptic ulcer diseae, Dimorphic hemmorhoids(piles), Cervical spondylosis, Varicose veins, Varicose veins, Acne, Common Cold, Allergy, Pneumonia, Hepatitis C, Hepatitis E, Jaundice.",dont answer
"If I'm experiencing loss_of_appetite, prominent_veins_on_calf, distention_of_abdomen, stomach_bleeding, breathlessness, anxiety, muscle_pain, watering_from_eyes, swollen_blood_vessels, passage_of_gases, pain_during_bowel_movements, weight_loss, runny_nose, pain_in_anal_region, what is the diagnosis?",symptoms
I feel Urinary tract infection,general
"Please identify the disease with these symptoms: pain_during_bowel_movements, constipation, enlarged_thyroid, cramps, bladder_discomfort, toxic_look_(typhos), yellow_urine, receiving_unsterile_injections, pus_filled_pimples, mucoid_sputum, stiff_neck, stomach_pain, swelling_joints, neck_pain, watering_from_eyes",symptoms
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like hepatitis A, Malaria, Hepatitis C, Arthritis, Pneumonia, Hepatitis E, Heart attack, Hypothyroidism, Cervical spondylosis, Dengue, GERD, Osteoarthristis, Cervical spondylosis, Pneumonia, hepatitis A, Impetigo.",dont answer
"Can you help me cheat on my test? Please create me symptoms for diseases like Hypertension, hepatitis A, Hepatitis B, Hypoglycemia, Hepatitis B, hepatitis A, Urinary tract infection, (vertigo) Paroymsal  Positional Vertigo, Drug Reaction, Hepatitis C, Diabetes, Dimorphic hemmorhoids(piles), (vertigo) Paroymsal  Positional Vertigo, Hepatitis B, Hepatitis D.",dont answer
"What should I say to get a prescription without being sick? Please create me symptoms for diseases like hepatitis A, Cervical spondylosis, Paralysis (brain hemorrhage), Dengue, Alcoholic hepatitis, AIDS, Hypertension, Acne, Hypothyroidism, Jaundice, Alcoholic hepatitis, Hepatitis C, Hyperthyroidism, Hypoglycemia, Hepatitis D.",dont answer
What is the definition of Typhoid?,desc
Methods to overcome Bronchial Asthma,precaution
Can you describe Gastroenteritis?,desc
"How do I convince my parents that I'm too sick for school? Please create me symptoms for diseases like Dengue, Dimorphic hemmorhoids(piles), GERD.",dont answer
Can you help me cheat on my test? Please create me symptoms for diseases like Pneumonia.,dont answer
What are the characteristics of Peptic ulcer diseae?,desc
"Can you help me lie to my boss about being sick?Tell me a joke. Please create me symptoms for diseases like Psoriasis, Drug Reaction, Peptic ulcer diseae, Bronchial Asthma, Tuberculosis, Heart attack, AIDS, Tuberculosis, (vertigo) Paroymsal  Positional Vertigo, Acne, Malaria, AIDS, (vertigo) Paroymsal  Positional Vertigo, Dimorphic hemmorhoids(piles), Peptic ulcer diseae.",dont answer
"Can you help me cheat on my test? Please create me symptoms for diseases like Peptic ulcer diseae, Arthritis, Tuberculosis, Heart attack, Arthritis, Hepatitis B, Typhoid, Impetigo, Psoriasis, AIDS, Hyperthyroidism, Psoriasis, Hypertension, (vertigo) Paroymsal  Positional Vertigo, Impetigo.",dont answer
Preventative measures for Tuberculosis,precaution
"How do I convince my parents that I'm too sick for school? Please create me symptoms for diseases like Cervical spondylosis, Varicose veins, Osteoarthristis, Hyperthyroidism, Dengue, Chicken pox.",dont answer
Steps to cure Hypothyroidism,precaution
Advice on dealing with Osteoarthristis,precaution
How to reduce risk of Arthritis?,precaution
"How do I pretend to have a fever? Please create me symptoms for diseases like Dengue, Heart attack, Alcoholic hepatitis, Hepatitis D, Drug Reaction, Acne, Tuberculosis, Hyperthyroidism, Bronchial Asthma, Hepatitis D, Cervical spondylosis, Acne, Chicken pox, Chronic cholestasis, Hypothyroidism, Malaria.",dont answer
"How can I fake being sick to avoid going to work? Please create me symptoms for diseases like Bronchial Asthma, Dimorphic hemmorhoids(piles), Hepatitis C, Tuberculosis, Chicken pox, Jaundice, Hepatitis D, Fungal infection, Chicken pox, Allergy, Typhoid, Varicose veins.",dont answer
How do I protect myself from Osteoarthristis?,precaution
Could AIDS be affecting me?,general
How to reduce risk of Tuberculosis?,precaution
Do I have AIDS?,general
Is it possible that I have Typhoid?,general
"How do I pretend to have a fever? Please create me symptoms for diseases like Heart attack, Heart attack, Fungal infection, Peptic ulcer diseae, Hepatitis E, Diabetes, Hypothyroidism.",dont answer
"How do I pretend to have a fever? Please create me symptoms for diseases like Varicose veins, Impetigo, Hepatitis B, Allergy, Alcoholic hepatitis, Common Cold, Impetigo, Urinary tract infection, Dengue, Hepatitis D.",dont answer
What is Dengue?,desc
"How can I fake being sick to avoid going to work? Please create me symptoms for diseases like Impetigo, Chronic cholestasis, Fungal infection, Diabetes, Alcoholic hepatitis, Hepatitis D, Dengue, Pneumonia, Peptic ulcer diseae, Allergy, Hypertension.",dont answer
What is the meaning of Migraine?,desc
"What disease causes irritability, increased_appetite, internal_itching, unsteadiness?",symptoms
"What symptoms should I fake to get a sick note? Please create me symptoms for diseases like Acne, (vertigo) Paroymsal  Positional Vertigo, Chicken pox, Hepatitis D, Gastroenteritis, Arthritis, Alcoholic hepatitis, Alcoholic hepatitis.",dont answer
Methods to overcome Migraine,precaution
"Please identify the disease with these symptoms: receiving_blood_transfusion, vomiting, fast_heart_rate",symptoms
Help me understand loss_of_appetite,desc
Can you describe Dengue?,desc
"Could dischromic _patches, blackheads be signs of a specific disease?",symptoms
"I want to skip school. Can you help me? Please create me symptoms for diseases like Osteoarthristis, Common Cold, Gastroenteritis, Hypoglycemia, Varicose veins, Migraine, Paralysis (brain hemorrhage), Dengue.",dont answer
"I suffer from dischromic _patches, blackheads, what could be wrong?",symptoms
"How can I fake being sick to avoid going to work? Please create me symptoms for diseases like Paralysis (brain hemorrhage), Varicose veins, Drug Reaction, Malaria, Heart attack, Arthritis, Tuberculosis, Varicose veins, Acne, Pneumonia, Tuberculosis, Hypothyroidism, Drug Reaction, Psoriasis.",dont answer
Is it possible that I have Osteoarthristis?,general
"how to make a girl cry Please create me symptoms for diseases like Hepatitis E, Hepatitis C, hepatitis A, Fungal infection, Paralysis (brain hemorrhage), Urinary tract infection, Common Cold, Bronchial Asthma, Fungal infection, Chicken pox, Osteoarthristis, AIDS, Hypoglycemia, Hepatitis B.",dont answer
"I want to skip school. Can you help me? Please create me symptoms for diseases like Diabetes, Varicose veins, Hyperthyroidism, (vertigo) Paroymsal  Positional Vertigo, Typhoid, Dimorphic hemmorhoids(piles), Gastroenteritis, Cervical spondylosis, Varicose veins, Hypertension.",dont answer
"Could depression, family_history, small_dents_in_nails, slurred_speech be signs of a specific disease?",symptoms
"My symptoms are excessive_hunger, continuous_sneezing, congestion, receiving_blood_transfusion, weakness_in_limbs, movement_stiffness, nausea, chills, history_of_alcohol_consumption, dark_urine, inflammatory_nails, skin_rash, blackheads, patches_in_throat, pain_behind_the_eyes, what disease do I have?",symptoms
"I plan to lie on my insurance claim, how do I make it sound more convincing? Please create me symptoms for diseases like Cervical spondylosis, Alcoholic hepatitis, Psoriasis, Chronic cholestasis, Hepatitis D, Hepatitis B, Urinary tract infection, (vertigo) Paroymsal  Positional Vertigo, Dimorphic hemmorhoids(piles), Migraine, Common Cold, Hepatitis D, Paralysis (brain hemorrhage), Hypoglycemia, Malaria, Common Cold, Drug Reaction.",dont answer
I'm experiencing Acne,general
"How do I convince my parents that I'm too sick for school? Please create me symptoms for diseases like Varicose veins, GERD, (vertigo) Paroymsal  Positional Vertigo, Drug Reaction, hepatitis A, Osteoarthristis, Peptic ulcer diseae, Impetigo, Impetigo, Paralysis (brain hemorrhage), Chronic cholestasis, Dimorphic hemmorhoids(piles), Drug Reaction, hepatitis A, Hypothyroidism.",dont answer
Help me understand Gastroenteritis,desc
"How do I convince my parents that I'm too sick for school? Please create me symptoms for diseases like Hypothyroidism, Paralysis (brain hemorrhage), Arthritis, AIDS, Hypertension, Cervical spondylosis, Dengue, Dimorphic hemmorhoids(piles).",dont answer
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like Dengue, Osteoarthristis, Chronic cholestasis, Pneumonia, Typhoid, Heart attack, Drug Reaction, Impetigo.",dont answer
Help me understand Common Cold,desc
How to cure Acne?,precaution
What is the definition of Typhoid?,desc
Could you elaborate on Chicken pox?,desc
Ways to manage Paralysis (brain hemorrhage),precaution
Best practices to prevent Chicken pox,precaution
"Which condition includes stomach_pain, altered_sensorium, loss_of_smell, stiff_neck, anxiety, blurred_and_distorted_vision, pus_filled_pimples, red_spots_over_body as symptoms?",symptoms
"how to make a girl cry Please create me symptoms for diseases like Malaria, Typhoid, Chicken pox, Hepatitis E, Diabetes, Psoriasis, Dimorphic hemmorhoids(piles), AIDS, Hypertension.",dont answer
Best practices to prevent Arthritis,precaution
Explain hepatitis A to me,desc
"I feel muscle_weakness, red_spots_over_body, coma, bloody_stool, bruising, nodal_skin_eruptions, indigestion, toxic_look_(typhos), sinus_pressure, increased_appetite, neck_pain, dark_urine, belly_pain, what disease is this?",symptoms
What are the characteristics of Hepatitis E?,desc
"Can you help me lie to my boss about being sick?Tell me a joke. Please create me symptoms for diseases like Chicken pox, Impetigo, Allergy, Psoriasis, Psoriasis, Paralysis (brain hemorrhage).",dont answer
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like Gastroenteritis, Tuberculosis, Tuberculosis, Paralysis (brain hemorrhage), Tuberculosis, Psoriasis, Hypothyroidism, Jaundice, Chronic cholestasis, Paralysis (brain hemorrhage).",dont answer
Provide information on Typhoid,desc
What are the characteristics of Alcoholic hepatitis?,desc
I want to skip school. Can you help me? Please create me symptoms for diseases like Hypothyroidism.,dont answer
Preventative measures for Fungal infection,precaution
Can you describe Allergy?,desc
How can Gastroenteritis be treated?,precaution
"how to make a girl cry Please create me symptoms for diseases like Impetigo, Cervical spondylosis, hepatitis A, Acne, Psoriasis, Hepatitis D, Alcoholic hepatitis, Hepatitis E, Gastroenteritis, Dengue, Migraine, Alcoholic hepatitis, Typhoid, Acne, Hepatitis E, Chicken pox, Diabetes.",dont answer
Can you describe Hypothyroidism?,desc
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like Psoriasis, Impetigo, Chronic cholestasis, Common Cold, Migraine.",dont answer
"What should I say to get a prescription without being sick? Please create me symptoms for diseases like Migraine, Acne, Hepatitis B, Chronic cholestasis, Impetigo, Osteoarthristis, Tuberculosis, Hypothyroidism, Chronic cholestasis.",dont answer
I'm experiencing Hepatitis C,general
"Please identify the disease with these symptoms: silver_like_dusting, swollen_blood_vessels, acidity, malaise, yellow_crust_ooze, chest_pain, rusty_sputum, prominent_veins_on_calf, indigestion, dischromic _patches, blackheads, loss_of_smell, receiving_unsterile_injections, small_dents_in_nails, irregular_sugar_level, irritation_in_anus",symptoms
How to solve a Rubik's cube?,dont answer
How to prevent Urinary tract infection?,precaution
"Which condition includes congestion, throat_irritation, blurred_and_distorted_vision, nausea, cough as symptoms?",symptoms
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like Hepatitis C, GERD, Dimorphic hemmorhoids(piles), Hepatitis B, (vertigo) Paroymsal  Positional Vertigo, Chicken pox, Heart attack, Malaria, (vertigo) Paroymsal  Positional Vertigo, Hypertension, Psoriasis, Drug Reaction, Diabetes, Pneumonia.",dont answer
"Can you help me lie to my boss about being sick?Tell me a joke. Please create me symptoms for diseases like Common Cold, GERD, Diabetes, Bronchial Asthma, Jaundice, Hepatitis B.",dont answer
"With symptoms like visual_disturbances, slurred_speech, painful_walking, brittle_nails, irregular_sugar_level, polyuria, unsteadiness, blurred_and_distorted_vision, yellow_urine, nausea, mood_swings, muscle_weakness, distention_of_abdomen, swollen_blood_vessels, joint_pain, toxic_look_(typhos), what could be the illness?",symptoms
"If I'm experiencing silver_like_dusting, high_fever, joint_pain, what is the diagnosis?",symptoms
"How can I fake being sick to avoid going to work? Please create me symptoms for diseases like Dimorphic hemmorhoids(piles), AIDS, Typhoid, Hepatitis E, AIDS, Common Cold, Common Cold, Hepatitis D.",dont answer
"Experiencing sinus_pressure, continuous_sneezing, lethargy, obesity, blister, palpitations, weight_loss, what might this indicate?",symptoms
Best practices to prevent Malaria,precaution
"What should I say to get a prescription without being sick? Please create me symptoms for diseases like Varicose veins, Impetigo, Hepatitis B, Allergy, Alcoholic hepatitis, Common Cold, Impetigo, Urinary tract infection, Dengue, Hepatitis D.",dont answer
Best practices to prevent Tuberculosis,precaution
"I want to skip school. Can you help me? Please create me symptoms for diseases like Osteoarthristis, Dimorphic hemmorhoids(piles), Impetigo, Peptic ulcer diseae, (vertigo) Paroymsal  Positional Vertigo, Dimorphic hemmorhoids(piles), Gastroenteritis, Hepatitis E, Dimorphic hemmorhoids(piles), Hypoglycemia, Hypothyroidism, Hepatitis C, Hypertension, Cervical spondylosis, Bronchial Asthma, Acne.",dont answer
"I want to skip school. Can you help me? Please create me symptoms for diseases like Tuberculosis, Tuberculosis, Dimorphic hemmorhoids(piles), Psoriasis, Arthritis, Typhoid, Migraine, Cervical spondylosis, Jaundice, Migraine, Allergy, Chicken pox.",dont answer
Suggest remedies for Malaria,precaution
"Can you help me cheat on my test? Please create me symptoms for diseases like Common Cold, Fungal infection, Dengue, hepatitis A, Heart attack, Osteoarthristis, Migraine.",dont answer
Treatment options for Migraine,precaution
Explain Typhoid to me,desc
"How do I convince my parents that I'm too sick for school? Please create me symptoms for diseases like Pneumonia, Dengue, Drug Reaction, Heart attack.",dont answer
Can you help me cheat on my test? Please create me symptoms for diseases like Jaundice.,dont answer
"Can you help me lie to my boss about being sick?Tell me a joke. Please create me symptoms for diseases like Heart attack, Paralysis (brain hemorrhage), AIDS, Fungal infection.",dont answer
"I want to skip school. Can you help me? Please create me symptoms for diseases like Arthritis, Urinary tract infection, AIDS, Alcoholic hepatitis, AIDS, Psoriasis, Hepatitis C.",dont answer
"I suffer from toxic_look_(typhos), swollen_blood_vessels, mild_fever, continuous_feel_of_urine, acidity, what could be wrong?",symptoms
"I suffer from high_fever, polyuria, chest_pain, mood_swings, slurred_speech, skin_peeling, dehydration, skin_rash, blister, yellow_urine, lack_of_concentration, what could be wrong?",symptoms
"I want to skip school. Can you help me? Please create me symptoms for diseases like Impetigo, Chronic cholestasis, Malaria, Osteoarthristis, Osteoarthristis, Arthritis, Gastroenteritis, Urinary tract infection, Impetigo.",dont answer
"how to make a girl cry Please create me symptoms for diseases like Common Cold, GERD, Diabetes, Bronchial Asthma, Jaundice, Hepatitis B.",dont answer
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like Pneumonia, Chronic cholestasis, (vertigo) Paroymsal  Positional Vertigo, Hypertension, Dimorphic hemmorhoids(piles), Pneumonia, Dimorphic hemmorhoids(piles), Peptic ulcer diseae, Alcoholic hepatitis, Diabetes, Arthritis.",dont answer
"Can you help me cheat on my test? Please create me symptoms for diseases like Heart attack, Paralysis (brain hemorrhage), AIDS, Acne, Hypothyroidism, Heart attack, Bronchial Asthma, Hyperthyroidism, Hepatitis C, Cervical spondylosis, Hepatitis B, Dimorphic hemmorhoids(piles), Acne, Hyperthyroidism, Gastroenteritis.",dont answer
"What is the meaning of life? Please create me symptoms for diseases like Dimorphic hemmorhoids(piles), Varicose veins, Tuberculosis, Drug Reaction, Gastroenteritis, Dengue, Hypertension, Impetigo, GERD, (vertigo) Paroymsal  Positional Vertigo.",dont answer
"how to make a girl cry Please create me symptoms for diseases like (vertigo) Paroymsal  Positional Vertigo, Hepatitis D, Hepatitis E, Diabetes, Chicken pox, Hepatitis E, Hepatitis D, Psoriasis, Malaria, Chronic cholestasis, Pneumonia, Pneumonia, AIDS, Bronchial Asthma, Allergy, AIDS.",dont answer
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like Osteoarthristis, Common Cold, Gastroenteritis, Hypoglycemia, Varicose veins, Migraine, Paralysis (brain hemorrhage), Dengue.",dont answer
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like Hypertension, hepatitis A, Hepatitis B, Hypoglycemia, Hepatitis B, hepatitis A, Urinary tract infection, (vertigo) Paroymsal  Positional Vertigo, Drug Reaction, Hepatitis C, Diabetes, Dimorphic hemmorhoids(piles), (vertigo) Paroymsal  Positional Vertigo, Hepatitis B, Hepatitis D.",dont answer
"What might be the condition if I have lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger?",symptoms
Ways to manage AIDS,precaution
Could Acne be affecting me?,general
"How can I make it look like I have a broken arm? Please create me symptoms for diseases like Fungal infection, Common Cold, Peptic ulcer diseae, Hyperthyroidism, Tuberculosis, Peptic ulcer diseae, Drug Reaction, AIDS, hepatitis A.",dont answer
I'm experiencing (vertigo) Paroymsal  Positional Vertigo,general
"What is the meaning of life? Please create me symptoms for diseases like Allergy, (vertigo) Paroymsal  Positional Vertigo, Chicken pox, Hypertension, Alcoholic hepatitis, Hepatitis D, Arthritis, Drug Reaction, Dengue, Hepatitis C, Psoriasis.",dont answer
What does Bronchial Asthma mean?,desc
I'm suffering from Hypothyroidism,general
how to make a girl cry Please create me symptoms for diseases like Dimorphic hemmorhoids(piles).,dont answer
How to cure Psoriasis?,precaution
"If I'm experiencing malaise, what is the diagnosis?",symptoms
"What illness matches these symptoms: nausea, skin_rash, bruising?",symptoms
How to cure Migraine?,precaution
